Player,Team,Line (PP),Line (DK),Line (UD),Pick,Average Odds,Edge,Source
Michael Wacha,KC,5.0,4.5,4.5,OVER,-169,13.4%,Stat
George Kirby,SEA,5.0,4.5,4.5,OVER,-162,13.0%,Stat
Patrick Corbin,TEX,5.0,4.5,4.5,OVER,-166,12.5%,Stat
Trevor Rogers,BAL,4.0,4.5,4.5,UNDER,-161,12.5%,Stat
Drew Rasmussen,TB,5.0,5.5,5.5,UNDER,-161,11.8%,Stat
─── MODEL PICKS ───,,,,,,,,
Jacob Lopez,ATH,5.0,,,OVER,-20,2.6,Model
Chase Burns,CIN,6.0,,,OVER,-157,2.0,Model
Zack Wheeler,PHI,6.0,,,OVER,-18,2.0,Model
Logan Webb,SF,5.5,,,OVER,-130,1.7,Model
Garrett Crochet,BOS,8.0,,,OVER,-18,1.2,Model
