Player,Team,Line (PP),Line (DK),Line (UD),Pick,Average Odds,Edge,Source,Actual_SO,Result
Brady Singer,CIN,5.0,5.5,5.5,UNDER,-168.0,13.8%,Stat,4.0,HIT
Shane Smith,CWS,4.0,3.5,3.5,OVER,-155.0,13.0%,Stat,6.0,HIT
Jacob deGrom,TEX,7.0,6.5,7.5,UNDER,-162.0,12.1%,Stat,6.0,HIT
Tyler Anderson,LAA,4.0,3.5,4.5,UNDER,-162.0,12.1%,Stat,7.0,MISS
Gavin Williams,CLE,5.0,5.5,5.5,UNDER,-161.0,11.8%,Stat,2.0,HIT
─── MODEL PICKS ───,,,,,,,,,,
Max Fried,NYY,5.0,,,OVER,-147.0,1.8,Model,2.0,MISS
Freddy Peralta,MIL,5.5,,,OVER,-120.0,0.9,Model,,
Grant Holmes,ATL,7.0,,,OVER,-145.0,0.8,Model,10.0,HIT
Tyler Anderson,LAA,4.0,,,OVER,-18.0,0.8,Model,7.0,HIT
Jeffrey Springs,ATH,4.5,,,OVER,-116.0,0.7,Model,4.0,MISS
