player_pp,team,stat_type,prizepicks_line,dk_line,dk_odds,dk_label,Actual_SO,Result
Allan Winans,NYY,Pitcher Strikeouts,4.0,4.5,−160,Under,1.0,HIT
Bailey Ober,MIN,Pitcher Strikeouts,5.0,5.5,−160,Under,7.0,MISS
Ben Brown,CHC,Pitcher Strikeouts,5.0,4.5,−145,Over,3.0,MISS
Braxton Ashcraft,PIT,Pitcher Strikeouts,2.5,2.5,−130,Over,2.0,MISS
Bryan Woo,SEA,Pitcher Strikeouts,5.0,5.5,−145,Under,9.0,MISS
Chad Patrick,MIL,Pitcher Strikeouts,5.5,5.5,−120,Under,9.0,MISS
Eduardo Rodriguez,AZ,Pitcher Strikeouts,5.0,5.5,−125,Under,,
Framber Valdez,HOU,Pitcher Strikeouts,6.5,,,,,
Jack Kochanowicz,LAA,Pitcher Strikeouts,4.5,4.5,−120,Under,1.0,HIT
Kris Bubic,KC,Pitcher Strikeouts,5.5,,,,,
Matthew Liberatore,STL,Pitcher Strikeouts,3.5,3.5,−125,Over,5.0,HIT
Mitchell Parker,WSH,Pitcher Strikeouts,3.0,3.5,−150,Under,1.0,HIT
Nick Lodolo,CIN,Pitcher Strikeouts,5.0,5.5,−155,Under,6.0,MISS
Paul Blackburn,NYM,Pitcher Strikeouts,3.0,3.5,−140,Under,5.0,MISS
Shane Smith,CWS,Pitcher Strikeouts,4.0,4.5,−160,Under,2.0,HIT
Spencer Schwellenbach,ATL,Pitcher Strikeouts,5.0,5.5,−130,Under,4.0,HIT
Stephen Kolek,SD,Pitcher Strikeouts,3.5,3.5,−125,Over,5.0,HIT
Walker Buehler,BOS,Pitcher Strikeouts,5.0,4.5,−155,Over,3.0,MISS
