player_pp,team,stat_type,prizepicks_line,dk_line,dk_odds,dk_label,line_ud,over_odds_ud,under_odds_ud
Brady Singer,CIN,Pitcher Strikeouts,5.0,4.5,−165,Over,4.5,-157,+118
Brandon Young,BAL,Pitcher Strikeouts,4.0,4.5,−160,Under,4.5,+117,-154
Chase Dollander,COL,Pitcher Strikeouts,3.5,3.5,−120,Over,3.5,-122,-108
Clay Holmes,NYM,Pitcher Strikeouts,4.0,4.5,−125,Under,4.5,+107,-143
Colton Gordon,HOU,Pitcher Strikeouts,4.0,4.5,−160,Under,4.5,+124,-164
Didier Fuentes,ATL,Pitcher Strikeouts,4.0,3.5,−140,Over,3.5,-141,+106
Drew Rasmussen,TB,Pitcher Strikeouts,3.5,3.5,−115,Over,3.5,-121,-110
Edward Cabrera,MIA,Pitcher Strikeouts,5.0,4.5,−150,Over,4.5,-152,+114
Erick Fedde,STL,Pitcher Strikeouts,4.0,3.5,−145,Over,3.5,-159,+120
Gavin Williams,CLE,Pitcher Strikeouts,4.5,4.5,−115,Over,4.5,-129,-104
George Kirby,SEA,Pitcher Strikeouts,5.5,5.5,−115,Over,5.5,-115,-115
Jacob deGrom,TEX,Pitcher Strikeouts,6.5,6.5,−135,Over,6.5,-139,+105
Jack Flaherty,DET,Pitcher Strikeouts,7.0,6.5,−145,Over,6.5,-130,-102
Jacob Lopez,ATH,Pitcher Strikeouts,5.0,5.5,−155,Under,5.5,+119,-159
Joe Ryan,MIN,Pitcher Strikeouts,7.0,6.5,−140,Over,6.5,-157,+118
Logan Webb,SF,Pitcher Strikeouts,6.0,6.5,−145,Under,6.5,+114,-152
Matthew Boyd,CHC,Pitcher Strikeouts,4.5,4.5,−125,Over,4.5,-122,-109
Max Fried,NYY,Pitcher Strikeouts,6.0,6.5,−160,Under,5.5,-159,+120
MacKenzie Gore,WSH,Pitcher Strikeouts,5.0,5.5,−120,Under,5.5,-102,-132
Max Scherzer,TOR,Pitcher Strikeouts,4.5,4.5,−130,Under,4.5,-110,-120
Michael Wacha,KC,Pitcher Strikeouts,4.0,4.5,−150,Under,4.5,+123,-164
Nick Pivetta,SD,Pitcher Strikeouts,6.0,5.5,−150,Over,5.5,-154,+117
Richard Fitts,BOS,Pitcher Strikeouts,3.5,3.5,−125,Over,3.5,-124,-107
Yoshinobu Yamamoto,LAD,Pitcher Strikeouts,6.5,6.5,−115,Over,6.5,-110,-120
Yusei Kikuchi,LAA,Pitcher Strikeouts,7.0,7.5,−155,Under,7.5,+131,-176
Zack Wheeler,PHI,Pitcher Strikeouts,7.0,6.5,−155,Over,6.5,-137,+103
