player_pp,team,stat_type,prizepicks_line,dk_line,dk_odds,dk_label,line_ud,over_odds_ud,under_odds_ud,Actual_SO,Result
Andre Pallante,STL,Pitcher Strikeouts,3.0,3.5,−140,Under,3.5,102,-137,3.0,PUSH
Bailey Falter,PIT,Pitcher Strikeouts,3.5,3.5,−115,Over,3.5,-112,-122,2.0,MISS
Brandon Pfaadt,AZ,Pitcher Strikeouts,4.5,4.5,−120,Under,4.5,-107,-127,6.0,MISS
Brandon Walter,HOU,Pitcher Strikeouts,5.0,4.5,−135,Over,4.5,-148,109,7.0,HIT
Chris Bassitt,TOR,Pitcher Strikeouts,5.0,5.5,−130,Under,5.5,108,-145,5.0,PUSH
Charlie Morton,BAL,Pitcher Strikeouts,5.0,4.5,−150,Over,4.5,-154,115,4.0,MISS
Chris Paddack Jr.,MIN,Pitcher Strikeouts,4.0,4.5,−160,Under,4.5,125,-170,5.0,MISS
Colin Rea,CHC,Pitcher Strikeouts,4.5,4.5,−120,Under,4.5,-110,-122,5.0,MISS
Dylan Cease,SD,Pitcher Strikeouts,6.0,6.5,−155,Under,5.5,-189,139,10.0,MISS
Jesús Luzardo,PHI,Pitcher Strikeouts,6.5,6.5,−120,Over,6.5,-139,102,,
Jonathan Cannon,CWS,Pitcher Strikeouts,4.0,3.5,−135,Over,3.5,-150,111,2.0,MISS
Justin Verlander,SF,Pitcher Strikeouts,4.0,3.5,−150,Over,3.5,-189,138,0.0,MISS
Kyle Freeland,COL,Pitcher Strikeouts,3.5,3.5,−130,Under,3.5,-103,-134,3.0,HIT
Luis Castillo,SEA,Pitcher Strikeouts,6.0,5.5,−140,Over,5.5,-167,123,7.0,HIT
Lucas Giolito,BOS,Pitcher Strikeouts,5.0,4.5,−150,Over,5.5,131,-179,6.0,HIT
Michael Soroka,WSH,Pitcher Strikeouts,4.0,4.5,−125,Under,4.5,105,-143,3.0,HIT
Nick Lodolo,CIN,Pitcher Strikeouts,5.0,5.5,−145,Under,4.5,-179,133,7.0,MISS
Patrick Corbin,TEX,Pitcher Strikeouts,4.5,4.5,−125,Under,4.5,-103,-134,6.0,MISS
Quinn Priester,MIL,Pitcher Strikeouts,3.5,3.5,−135,Under,3.5,-112,-121,10.0,MISS
Reese Olson,DET,Pitcher Strikeouts,4.5,4.5,−125,Over,4.5,-139,103,6.0,HIT
Sandy Alcantara,MIA,Pitcher Strikeouts,4.0,3.5,−170,Over,3.5,-157,115,2.0,MISS
Sean Manaea,NYM,Pitcher Strikeouts,5.0,5.5,−140,Under,5.5,108,-145,6.0,MISS
Slade Cecconi,CLE,Pitcher Strikeouts,5.5,5.5,−120,Over,5.5,-125,-108,2.0,MISS
Spencer Strider,ATL,Pitcher Strikeouts,8.0,7.5,−145,Over,7.5,-148,109,8.0,PUSH
Taj Bradley,TB,Pitcher Strikeouts,5.5,5.5,−125,Over,5.5,-118,-114,6.0,HIT
Tyler Glasnow,LAD,Pitcher Strikeouts,6.0,5.5,−130,Over,5.5,-145,108,6.0,PUSH
