Name,Age,#days,Lev,Tm,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID
Andrew Abbott,26,2,Maj-NL,Cincinnati,5,5,3.0,1.0,,34.2,22,11,7,3,27,4,0,1.82,127,3,0,0,1,0,3,0,0,131,493,0.71,0.16,0.12,0.36,0.18,0.1,0.721,0.188,7.0,9.0,671096
Mick Abel,23,3,Maj-NL,Philadelphia,4,4,1.0,1.0,,17.1,18,9,9,4,9,7,1,4.67,69,0,2,0,1,0,0,0,0,74,317,0.65,0.15,0.08,0.3,0.27,0.03,1.269,0.208,4.7,2.25,690953
Keegan Akin,30,0,Maj-AL,Baltimore,12,1,2.0,,,10.0,11,3,3,6,8,1,0,2.7,37,2,0,0,1,0,0,0,0,43,179,0.66,0.12,0.13,0.41,0.17,0.07,1.7,0.357,7.2,1.33,669211
Sandy Alcantara,29,2,Maj-NL,Miami,5,5,2.0,1.0,,27.0,25,13,13,9,19,2,0,4.33,103,9,0,0,0,2,4,0,0,114,421,0.67,0.16,0.08,0.45,0.26,0.02,1.259,0.274,6.3,2.11,645261
Jason Alexander,32,7,Maj-AL,Houston,1,1,1.0,,,6.0,3,3,2,3,4,0,1,3.0,21,1,0,0,1,0,0,0,0,25,95,0.59,0.13,0.11,0.53,0.24,0.18,1.0,0.176,6.0,1.33,669920
Kolby Allard,27,0,Maj-AL,Cleveland,6,1,,,,10.2,19,6,5,2,5,1,0,4.22,51,5,0,0,0,0,0,1,0,53,208,0.67,0.18,0.06,0.35,0.26,0.07,1.969,0.4,4.2,2.5,663465
Logan Allen,26,0,Maj-AL,Cleveland,5,4,3.0,2.0,,24.0,23,12,11,7,18,4,1,4.13,92,1,0,0,3,0,2,1,0,100,398,0.62,0.16,0.09,0.46,0.19,0.09,1.25,0.271,6.8,2.57,671106
Tyler Anderson,35,0,Maj-AL,Los Angeles,6,6,,4.0,,30.2,39,21,20,10,27,5,1,5.87,128,10,1,0,3,1,3,1,0,140,554,0.66,0.16,0.12,0.34,0.3,0.08,1.598,0.351,7.9,2.7,542881
Shawn Armstrong,34,3,Maj-AL,Texas,11,2,,1.0,,12.0,4,2,2,3,12,1,1,1.5,40,0,0,0,0,0,0,0,0,44,168,0.72,0.24,0.12,0.29,0.11,0.18,0.583,0.111,9.0,4.0,542888
Braxton Ashcraft,25,1,Maj-NL,Pittsburgh,8,1,1.0,,,14.2,10,2,2,6,12,0,0,1.23,53,3,1,1,1,0,1,0,0,59,223,0.66,0.16,0.09,0.54,0.17,0.0,1.091,0.244,7.4,2.0,677952
Chris Bassitt,36,2,Maj-AL,Toronto,5,5,3.0,,,31.0,27,14,14,8,27,3,4,4.06,115,6,0,0,3,0,1,1,0,127,449,0.65,0.17,0.1,0.45,0.26,0.13,1.129,0.282,7.8,3.38,605135
Shane Baz,26,4,Maj-AL,Tampa Bay,5,5,3.0,,,28.0,22,14,14,12,25,4,2,4.5,105,5,0,0,3,0,2,0,0,119,458,0.62,0.17,0.12,0.5,0.2,0.05,1.214,0.237,8.0,2.08,669358
Brayan Bello,26,3,Maj-AL,Boston,5,5,1.0,1.0,,30.0,23,12,8,9,24,3,2,2.4,112,2,0,0,1,0,2,2,1,124,470,0.63,0.17,0.07,0.57,0.12,0.1,1.067,0.235,7.2,2.67,678394
Ryan Bergert,25,0,Maj-NL,San Diego,5,5,,,,23.0,18,8,8,12,21,2,0,3.13,84,4,0,0,1,0,1,0,0,97,399,0.62,0.15,0.08,0.34,0.25,0.03,1.304,0.262,8.2,1.75,686701
Jos\xc3\xa9 Berr\xc3\xados,31,3,Maj-AL,Toronto,5,5,2.0,1.0,,31.0,21,8,7,10,25,2,1,2.03,108,4,1,1,6,0,1,1,0,119,454,0.63,0.16,0.1,0.41,0.24,0.1,1.0,0.235,7.3,2.5,621244
Tanner Bibee,26,4,Maj-AL,Cleveland,5,5,,3.0,,30.2,31,16,15,8,32,4,2,4.4,120,2,0,1,3,1,7,1,1,131,500,0.64,0.2,0.1,0.47,0.19,0.02,1.272,0.318,9.4,4.0,676440
Hayden Birdsong,23,4,Maj-NL,San Francisco,5,5,1.0,1.0,,24.1,25,14,13,10,26,2,1,4.81,98,5,0,0,0,1,1,0,0,110,458,0.61,0.14,0.11,0.42,0.25,0.11,1.438,0.324,9.6,2.6,806185
Paul Blackburn,31,1,Maj-NL,New York,5,3,,2.0,1.0,17.2,24,14,13,7,13,2,1,6.62,73,5,3,0,2,3,2,0,0,84,330,0.62,0.15,0.11,0.35,0.3,0.08,1.755,0.361,6.6,1.86,621112
Scott Blewett,29,3,"Maj-AL,Maj-NL","Atlanta,Baltimore",9,1,1.0,,,15.0,17,10,9,4,9,4,0,5.4,61,1,1,0,1,0,1,1,0,65,242,0.64,0.14,0.11,0.44,0.19,0.04,1.4,0.271,5.4,2.25,656240
Matthew Boyd,34,4,Maj-NL,Chicago,5,5,2.0,1.0,,30.1,19,8,6,6,23,3,0,1.78,102,2,0,0,2,1,1,2,5,110,433,0.69,0.15,0.1,0.37,0.15,0.17,0.824,0.208,6.8,3.83,571510
Taj Bradley,24,0,Maj-AL,Tampa Bay,6,6,1.0,2.0,,30.0,26,23,15,11,29,4,1,4.5,117,5,0,0,3,1,0,0,0,130,490,0.63,0.15,0.1,0.57,0.21,0.02,1.233,0.259,8.7,2.64,671737
Beau Brieske,27,13,Maj-AL,Detroit,6,1,,2.0,,5.0,6,7,6,5,4,1,0,10.8,19,1,0,1,0,1,1,0,0,26,95,0.54,0.08,0.09,0.35,0.24,0.0,2.2,0.333,7.2,0.8,689225
Ben Brown,25,1,Maj-NL,Chicago,5,4,1.0,3.0,,28.2,31,18,18,9,29,7,1,5.65,115,6,1,0,1,0,4,0,0,125,436,0.65,0.15,0.12,0.36,0.22,0.06,1.395,0.304,9.1,3.22,676962
Hunter Brown,26,4,Maj-AL,Houston,5,5,2.0,,,29.1,16,5,5,12,38,3,3,1.53,98,0,0,0,3,0,1,2,0,113,468,0.59,0.17,0.12,0.52,0.27,0.03,0.955,0.228,11.7,3.17,686613
Kris Bubic,27,0,Maj-AL,Kansas City,4,4,1.0,3.0,,22.2,27,13,11,7,26,1,1,4.37,92,7,3,0,2,1,2,1,0,101,388,0.67,0.13,0.14,0.43,0.36,0.04,1.5,0.394,10.3,3.71,663460
Walker Buehler,30,1,Maj-AL,Boston,5,5,1.0,3.0,,22.0,34,28,26,16,20,7,4,10.64,98,6,0,0,1,0,6,1,1,118,457,0.6,0.16,0.08,0.42,0.23,0.09,2.273,0.38,8.2,1.25,621111
Sean Burke,25,5,Maj-AL,Chicago,4,3,,2.0,,22.0,24,13,12,5,22,2,0,4.91,84,7,0,0,1,2,4,1,0,92,359,0.66,0.14,0.11,0.3,0.3,0.11,1.318,0.355,9.0,4.4,680732
Corbin Burnes,30,23,Maj-NL,Arizona,2,2,,,,11.2,10,3,3,3,12,1,1,2.31,45,3,0,0,0,0,0,0,0,49,173,0.65,0.2,0.1,0.64,0.18,0.03,1.114,0.281,9.3,4.0,669203
Chase Burns,22,0,Maj-NL,Cincinnati,1,1,,,,5.0,6,3,3,0,8,1,0,5.4,21,0,1,0,0,0,1,0,0,21,81,0.65,0.15,0.11,0.15,0.46,0.23,1.2,0.417,14.4,,695505
Mike Burrows,25,4,Maj-NL,Pittsburgh,5,5,1.0,1.0,,23.0,27,12,11,6,26,4,2,4.3,93,4,1,0,1,2,3,1,0,103,383,0.63,0.16,0.11,0.35,0.32,0.1,1.435,0.354,10.2,4.33,681347
Edward Cabrera,27,5,Maj-NL,Miami,4,4,1.0,1.0,,19.0,16,6,4,10,20,1,1,1.89,70,2,0,0,2,0,2,2,0,81,298,0.63,0.16,0.13,0.42,0.32,0.02,1.368,0.306,9.5,2.0,665795
Noah Cameron,25,3,Maj-AL,Kansas City,5,5,1.0,2.0,,28.1,24,9,9,9,20,2,0,2.86,105,5,0,0,3,0,0,1,0,114,447,0.63,0.17,0.11,0.45,0.18,0.06,1.165,0.265,6.4,2.22,702070
Griffin Canning,29,3,Maj-NL,New York,5,5,2.0,2.0,,23.2,24,19,16,14,20,2,0,6.08,94,7,0,0,1,0,0,0,1,109,449,0.61,0.17,0.1,0.47,0.25,0.03,1.606,0.306,7.6,1.43,656288
