Name,Age,#days,Lev,Tm,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID
Andrew Abbott,26,4,Maj-NL,Cincinnati,5,5,3.0,1.0,,34.2,23,11,7,3,27,4,0,1.82,127,3,0,0,1,0,3,0,0,131,493,0.71,0.16,0.12,0.36,0.18,0.1,0.75,0.198,7.0,9.0,671096
Mick Abel,23,5,Maj-NL,Philadelphia,4,4,1.0,1.0,,17.1,18,9,9,4,9,7,1,4.67,69,0,2,0,1,0,0,0,0,74,317,0.65,0.15,0.08,0.3,0.27,0.03,1.269,0.208,4.7,2.25,690953
Keegan Akin,30,2,Maj-AL,Baltimore,11,1,2.0,,,9.2,9,2,2,5,8,1,0,1.86,35,2,0,0,1,0,0,0,0,40,162,0.68,0.11,0.14,0.44,0.15,0.07,1.448,0.308,7.4,1.6,669211
Sandy Alcantara,29,4,Maj-NL,Miami,5,5,2.0,1.0,,27.0,25,13,13,9,19,2,0,4.33,103,9,0,0,0,2,4,0,0,114,421,0.67,0.16,0.08,0.45,0.26,0.02,1.259,0.274,6.3,2.11,645261
Jason Alexander,32,9,Maj-AL,Houston,1,1,1.0,,,6.0,3,3,2,3,4,0,1,3.0,21,1,0,0,1,0,0,0,0,25,95,0.59,0.13,0.11,0.53,0.24,0.18,1.0,0.176,6.0,1.33,669920
Kolby Allard,27,0,Maj-AL,Cleveland,7,1,,,,11.1,21,7,6,3,5,1,0,4.76,54,5,0,0,0,0,0,1,0,57,221,0.67,0.18,0.05,0.35,0.27,0.06,2.118,0.417,4.0,1.67,663465
Logan Allen,26,2,Maj-AL,Cleveland,5,4,3.0,2.0,,24.0,23,12,11,7,18,4,1,4.13,92,1,0,0,3,0,2,1,0,100,398,0.62,0.16,0.09,0.46,0.19,0.09,1.25,0.271,6.8,2.57,671106
Tyler Anderson,35,2,Maj-AL,Los Angeles,5,5,,3.0,,24.2,34,19,19,9,24,4,1,6.93,104,9,1,0,3,1,2,1,0,115,457,0.66,0.16,0.13,0.36,0.32,0.06,1.743,0.39,8.8,2.67,542881
Shawn Armstrong,34,5,Maj-AL,Texas,10,2,,1.0,,10.1,4,2,2,1,12,1,1,1.74,35,0,0,0,0,0,0,0,0,37,143,0.73,0.24,0.13,0.3,0.13,0.22,0.484,0.136,10.5,12.0,542888
Braxton Ashcraft,25,3,Maj-NL,Pittsburgh,7,1,1.0,,,11.2,8,2,2,5,11,0,0,1.54,42,3,1,1,1,0,0,0,0,47,173,0.67,0.17,0.09,0.52,0.16,0.0,1.114,0.258,8.5,2.2,677952
Chris Bassitt,36,4,Maj-AL,Toronto,5,5,3.0,,,31.0,27,14,14,8,27,3,4,4.06,115,6,0,0,3,0,1,1,0,127,449,0.65,0.17,0.1,0.45,0.26,0.13,1.129,0.282,7.8,3.38,605135
Shane Baz,26,0,Maj-AL,Tampa Bay,6,6,4.0,,,36.0,25,14,14,13,34,4,2,3.5,131,6,0,0,4,0,2,0,0,146,555,0.64,0.18,0.12,0.51,0.21,0.05,1.056,0.226,8.5,2.62,669358
Brayan Bello,26,5,Maj-AL,Boston,5,5,1.0,1.0,,30.0,23,12,8,9,24,3,2,2.4,112,2,0,0,1,0,2,2,1,124,470,0.63,0.17,0.07,0.57,0.12,0.1,1.067,0.235,7.2,2.67,678394
Ryan Bergert,25,2,Maj-NL,San Diego,5,5,,,,23.0,18,8,8,12,21,2,0,3.13,84,4,0,0,1,0,1,0,0,97,399,0.62,0.15,0.08,0.34,0.25,0.03,1.304,0.262,8.2,1.75,686701
Jos\xc3\xa9 Berr\xc3\xados,31,5,Maj-AL,Toronto,5,5,2.0,1.0,,31.0,21,8,7,10,25,2,1,2.03,108,4,1,1,6,0,1,1,0,119,454,0.63,0.16,0.1,0.41,0.24,0.1,1.0,0.235,7.3,2.5,621244
Tanner Bibee,26,0,Maj-AL,Cleveland,5,5,,3.0,,31.2,27,15,13,5,32,3,4,3.69,121,2,0,0,2,1,7,1,1,132,501,0.65,0.18,0.11,0.52,0.18,0.01,1.011,0.276,9.1,6.4,676440
