Name,Age,#days,Lev,Tm,G,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,ERA,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,mlbID,year,player_id,pa,k_percent,bb_percent,woba,xwoba,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
sandy alcantara,27,675,Maj-NL,Miami,27,27,7.0,12.0,,179.0,173,88,82,44,149,22,5,4.12,683,30,1,0,18,4,16,3,3,739,2625,0.69,0.15,0.12,0.51,0.22,0.05,1.212,0.293,7.5,3.39,645261,2023,645261,762,19.8,6.3,0.301,0.32,31.4,7.0,40.6,77.348736884,94.275894674,25.4,54.2
logan allen,24,659,Maj-AL,Cleveland,24,24,7.0,8.0,,125.1,127,55,53,48,119,16,1,3.81,483,28,0,0,11,2,0,5,1,537,2134,0.64,0.16,0.11,0.43,0.25,0.07,1.396,0.317,8.5,2.48,671106,2023,671106,537,22.2,8.9,0.326,0.323,34.2,7.6,39.1,77.882028571,94.245612837,24.0,47.7
tyler anderson,33,662,Maj-AL,Los Angeles,27,25,6.0,6.0,,141.0,146,90,85,64,119,20,7,5.43,549,40,2,1,7,7,7,2,0,629,2436,0.64,0.14,0.13,0.31,0.27,0.08,1.489,0.302,7.6,1.86,542881,2023,542881,629,18.9,10.2,0.345,0.34,37.6,8.2,32.3,75.818054326,93.084649767,27.8,49.7
graham ashcraft,25,677,Maj-NL,Cincinnati,26,26,7.0,9.0,,145.2,148,78,77,52,111,23,10,4.76,558,23,4,0,21,2,10,4,1,624,2324,0.65,0.17,0.1,0.48,0.24,0.05,1.373,0.293,6.9,2.13,668933,2023,668933,624,17.8,8.3,0.339,0.34,34.0,6.9,38.9,76.720419821,94.143819215,22.3,48.2
chris bassitt,34,650,Maj-AL,Toronto,33,33,16.0,8.0,,200.0,176,88,80,59,186,28,12,3.6,749,38,2,2,14,5,14,6,2,826,3140,0.66,0.19,0.1,0.43,0.23,0.07,1.175,0.274,8.4,3.15,605135,2023,605135,826,22.5,7.1,0.304,0.31,36.0,8.3,35.3,75.819874626,93.662809412,21.9,47.3
brayan bello,24,651,Maj-AL,Boston,28,28,12.0,11.0,,157.0,165,77,74,45,132,24,6,4.24,611,36,2,0,23,5,9,3,2,668,2616,0.63,0.15,0.11,0.56,0.19,0.04,1.338,0.307,7.6,2.93,678394,2023,678394,668,19.8,6.7,0.334,0.314,28.0,7.0,44.3,78.007244174,94.760085031,24.4,48.4
jose berrios,29,651,Maj-AL,Toronto,32,32,11.0,12.0,,189.2,173,82,77,52,184,25,9,3.65,717,33,2,3,13,2,12,4,3,782,2938,0.65,0.18,0.11,0.42,0.27,0.06,1.186,0.29,8.7,3.54,621244,2023,621244,782,23.5,6.6,0.302,0.326,39.1,8.6,35.8,77.334530262,93.583561201,25.5,46.5
tanner bibee,24,662,Maj-AL,Cleveland,25,25,10.0,4.0,,142.0,122,49,47,45,141,13,5,2.98,530,26,0,0,7,4,9,1,3,585,2323,0.64,0.16,0.11,0.37,0.26,0.08,1.176,0.287,8.9,3.13,676440,2023,676440,585,24.1,7.7,0.285,0.297,37.8,6.1,38.1,78.01009352,94.070533376,26.3,47.2
shane bieber,28,651,Maj-AL,Cleveland,20,20,6.0,6.0,,122.0,118,56,54,34,104,14,3,3.98,467,27,2,0,13,4,10,5,2,510,1870,0.65,0.19,0.1,0.48,0.26,0.05,1.246,0.295,7.7,3.06,669456,2023,669456,533,20.1,6.4,0.307,0.336,34.4,7.8,47.8,81.658119741,95.361877073,24.3,46.1
kyle bradish,26,647,Maj-AL,Baltimore,30,30,12.0,7.0,,168.2,132,54,53,44,168,14,8,2.83,615,27,1,0,19,2,3,2,0,671,2641,0.64,0.18,0.11,0.49,0.26,0.03,1.043,0.271,9.0,3.82,680694,2023,680694,671,25.0,6.6,0.268,0.3,33.3,6.9,42.0,80.023999375,94.268400156,26.0,45.8
hunter brown,24,647,Maj-AL,Houston,31,29,11.0,13.0,,155.2,157,94,88,55,178,26,9,5.09,599,34,2,0,16,2,16,7,2,665,2724,0.63,0.17,0.11,0.52,0.21,0.05,1.362,0.33,10.3,3.24,686613,2023,686613,665,26.8,8.3,0.34,0.318,30.0,10.9,44.4,80.710690569,94.872462251,24.8,46.4
corbin burnes,28,650,Maj-NL,Milwaukee,31,31,10.0,7.0,,188.2,137,73,69,63,197,22,7,3.29,685,19,1,0,9,6,11,2,3,761,2994,0.63,0.17,0.12,0.43,0.26,0.06,1.06,0.244,9.4,3.13,669203,2023,669203,784,25.5,8.4,0.266,0.285,31.0,5.3,32.4,74.856549488,92.974631594,28.8,46.3
griffin canning,27,651,Maj-AL,Los Angeles,24,22,7.0,8.0,,127.0,121,62,61,36,139,22,5,4.32,493,19,3,1,6,1,2,0,3,536,2177,0.65,0.17,0.13,0.43,0.21,0.06,1.236,0.297,9.9,3.86,656288,2023,656288,536,25.9,6.7,0.315,0.309,31.5,9.8,44.2,81.182281765,94.781038053,29.1,48.4
luis castillo,30,648,Maj-AL,Seattle,32,32,14.0,9.0,,191.0,159,81,73,56,213,28,5,3.44,716,36,5,0,2,5,6,6,1,783,3132,0.66,0.14,0.15,0.39,0.24,0.09,1.126,0.273,10.0,3.8,622491,2023,622491,802,27.3,7.0,0.289,0.301,31.0,9.4,41.8,78.960209073,94.709603649,30.6,52.1
dylan cease,27,649,Maj-AL,Chicago,32,32,7.0,9.0,,170.2,170,97,89,79,204,19,8,4.69,668,32,9,3,6,6,12,2,3,762,3176,0.62,0.15,0.14,0.37,0.28,0.08,1.459,0.335,10.8,2.58,656302,2023,656302,784,27.3,10.1,0.321,0.312,36.8,6.2,41.6,79.788605816,94.355014456,31.0,46.3
aaron civale,28,649,Maj-AL,"Cleveland,Tampa Bay",23,23,7.0,5.0,,122.1,109,47,47,33,116,12,5,3.46,463,21,1,0,9,1,6,2,0,504,2009,0.66,0.19,0.1,0.4,0.24,0.09,1.161,0.289,8.5,3.52,650644,2023,650644,504,23.0,6.5,0.288,0.297,33.5,6.6,36.4,78.321917907,94.02557481,22.7,46.9
mike clevinger,32,648,Maj-AL,Chicago,24,24,9.0,9.0,,131.1,121,56,55,40,110,16,9,3.77,496,27,3,0,10,3,27,1,4,549,2097,0.66,0.17,0.1,0.31,0.23,0.12,1.226,0.282,7.5,2.75,605182,2023,605182,549,20.0,7.3,0.312,0.312,34.9,7.2,35.9,77.254600722,93.563543824,23.2,49.1
alex cobb,35,659,Maj-NL,San Francisco,28,28,7.0,7.0,,151.1,163,69,65,37,131,19,6,3.87,600,33,4,0,16,2,13,3,4,646,2505,0.64,0.19,0.09,0.58,0.24,0.02,1.322,0.319,7.8,3.54,502171,2023,502171,646,20.3,5.7,0.325,0.333,33.1,7.0,43.4,78.162474979,94.959257569,21.7,44.9
gerrit cole,32,651,Maj-AL,New York,32,32,14.0,4.0,,203.0,154,64,61,46,211,20,7,2.7,741,26,1,0,13,2,6,4,2,799,3187,0.66,0.16,0.12,0.4,0.25,0.07,0.985,0.262,9.4,4.59,543037,2023,543037,821,27.0,5.8,0.256,0.289,33.7,7.6,39.2,78.703162612,93.996080634,26.2,50.1
patrick corbin,33,651,Maj-NL,Washington,31,31,10.0,14.0,,177.0,203,109,102,54,121,33,4,5.19,700,33,1,0,15,9,27,10,8,770,2840,0.62,0.16,0.09,0.45,0.25,0.05,1.452,0.306,6.2,2.24,571578,2023,571578,790,15.7,7.2,0.353,0.373,37.9,9.3,44.0,80.192000808,94.927415572,21.4,45.7
kutter crawford,27,648,Maj-AL,Boston,31,23,6.0,8.0,,129.1,107,59,58,36,135,17,5,4.04,484,26,2,0,9,2,8,2,1,527,2103,0.66,0.14,0.13,0.35,0.19,0.14,1.106,0.269,9.4,3.75,676710,2023,676710,527,25.6,6.8,0.29,0.28,30.5,7.7,35.3,76.355210455,93.712169573,26.8,52.4
yu darvish,36,684,Maj-NL,San Diego,24,24,8.0,10.0,,136.1,134,71,69,43,141,18,8,4.56,517,25,2,0,12,6,17,4,0,574,2220,0.65,0.18,0.11,0.43,0.27,0.09,1.298,0.319,9.3,3.28,506433,2023,506433,573,24.6,7.3,0.321,0.301,33.0,6.8,38.2,77.260033579,93.949118786,25.1,46.4
reid detmers,23,652,Maj-AL,Los Angeles,28,28,4.0,10.0,,148.2,141,81,74,60,168,19,13,4.48,569,28,1,2,11,2,15,4,2,644,2600,0.64,0.15,0.12,0.37,0.29,0.06,1.352,0.318,10.2,2.8,672282,2023,672282,644,26.1,9.3,0.321,0.327,37.2,6.2,41.4,79.273350299,94.457081521,27.1,48.8
dane dunning,28,647,Maj-AL,Texas,35,26,12.0,7.0,,172.2,163,73,71,55,140,20,10,3.7,652,27,3,0,20,5,7,4,0,722,2698,0.65,0.18,0.1,0.47,0.22,0.06,1.263,0.288,7.3,2.55,641540,2023,641540,722,19.4,7.6,0.31,0.325,32.5,7.5,40.2,77.759256899,94.06919,22.3,47.0
zach eflin,29,652,Maj-AL,Tampa Bay,31,31,16.0,8.0,,177.2,158,69,69,24,186,19,3,3.5,671,31,4,1,11,3,7,6,1,703,2578,0.69,0.19,0.11,0.5,0.2,0.07,1.024,0.296,9.4,7.75,621107,2023,621107,703,26.5,3.4,0.276,0.27,29.2,9.0,35.1,75.557414813,93.73501605,24.1,49.9
bryce elder,24,652,Maj-NL,Atlanta,31,31,12.0,4.0,,174.2,160,79,74,63,128,19,8,3.81,654,32,3,0,26,5,9,1,0,732,2849,0.63,0.16,0.1,0.51,0.24,0.05,1.277,0.275,6.6,2.03,693821,2023,693821,732,17.5,8.6,0.309,0.329,32.0,6.0,41.0,79.502454545,94.398947273,23.6,46.3
nathan eovaldi,33,649,Maj-AL,Texas,25,25,12.0,5.0,,144.0,117,59,58,47,132,15,6,3.63,521,27,5,0,19,2,8,4,1,577,2232,0.63,0.15,0.12,0.52,0.22,0.05,1.139,0.271,8.3,2.81,543135,2023,543135,577,22.9,8.1,0.296,0.308,30.1,7.9,43.1,77.314907795,94.415751825,26.4,47.8
jack flaherty,27,648,"Maj-AL,Maj-NL","Baltimore,St. Louis",29,27,8.0,9.0,,144.1,162,83,80,66,148,17,12,4.99,565,37,2,2,19,6,4,2,0,650,2634,0.61,0.17,0.11,0.43,0.28,0.05,1.58,0.357,9.2,2.24,656427,2023,656427,650,22.8,10.2,0.356,0.343,38.5,7.3,38.3,76.595665118,93.759440071,26.6,44.0
j.p. france,28,655,Maj-AL,Houston,24,23,11.0,6.0,,136.1,138,64,58,47,101,19,2,3.83,524,20,1,0,17,7,9,2,3,581,2203,0.62,0.17,0.09,0.42,0.25,0.07,1.357,0.29,6.7,2.15,641585,2023,641585,581,17.4,8.1,0.319,0.337,33.9,8.1,38.7,79.324354233,94.108334569,21.9,44.9
kyle freeland,30,662,Maj-NL,Colorado,28,28,5.0,14.0,,149.2,184,96,87,41,93,29,1,5.23,604,28,6,0,17,6,13,7,2,656,2343,0.66,0.14,0.08,0.41,0.25,0.05,1.503,0.318,5.6,2.27,607536,2023,607536,677,13.9,6.2,0.36,0.361,35.0,8.7,43.5,79.780080451,94.648559793,17.2,51.0
