"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Woo, Bryan",693433,2025,400,24,4.3,".268",".296",34.2,9.5,38.4,"76.295367376","94.078002811",25.6,52.5
"Brown, Hunter",686613,2024,712,25.1,8.4,".296",".283",28,4.5,30.3,"74.687517768","92.855098176",25.1,46.3
"Peralta, Freddy",642547,2024,725,27.6,9.4,".305",".304",35.3,8.7,36.9,"75.95026724","93.640809751",31.1,46.9
"Crawford, Kutter",676710,2024,759,23.1,6.7,".304",".304",33.4,9.9,36.3,"77.710617066","93.646279363",25.3,52
"Berríos, José",621244,2025,415,21.4,8.9,".304",".343",34.7,10.5,40.4,"78.707090638","94.534904078",23.9,46.5
"Feltner, Ryan",663372,2024,692,19.9,7.5,".320",".320",33.1,6.5,36.8,"76.695048857","93.803345297",23.9,48.1
"Estes, Joey",683155,2024,543,16.9,5,".333",".324",37.2,9.7,39.6,"79.114875902","94.154264829",19.2,55.5
"Montgomery, Jordan",656756,2024,532,15.6,8.3,".370",".347",36.6,6,41,"77.212722234","94.218289135",26.9,49.6
"Holmes, Clay",605280,2025,368,20.4,9.5,".296",".328",31.5,8.3,42.1,"79.521013254","94.92438259",21.8,45
"Wacha, Michael",608379,2025,409,18.3,6.4,".304",".322",39,7.5,32.5,"75.961484631","93.230653502",22.1,50.7
"Pepiot, Ryan",686752,2024,539,26.3,8.9,".290",".295",31.4,9.1,37.2,"79.441531647","93.814038824",29.9,48
"Quintana, Jose",500779,2024,717,18.8,8.8,".312",".327",32.9,6.7,38.2,"76.44604848","93.89600374",22.2,43.1
"Wheeler, Zack",554430,2025,413,32.9,6.1,".246",".251",36.9,6.4,32.1,"75.893576532","92.913471741",30.3,50.6
"Quantrill, Cal",615698,2025,312,17.9,7.1,".360",".373",41.3,11.7,44.3,"80.470661579","95.018097225",20.7,46.1
"Burnes, Corbin",669203,2025,265,23.8,9.8,".291",".311",33.5,8.1,41.6,"77.976536977","94.85857848",25.7,46.3
"Sale, Chris",519242,2024,702,32.1,5.6,".260",".261",34.9,5.6,31.2,"75.016805094","93.046190662",31,49
"Ryan, Joe",657746,2024,538,27.3,4.3,".282",".264",33.6,8.5,36.6,"77.148522833","93.914347298",26.6,50.9
"Flaherty, Jack",656427,2025,353,28.3,9.9,".318",".330",40.9,11.2,43.7,"79.388067477","94.793213131",28.9,44.8
"Keller, Mitch",656605,2025,417,18.5,6,".293",".322",33.1,6.1,42.1,"80.554334581","94.446854887",19.7,49.2
